order_id,order_date,region,category,salesperson,quantity,unit_price,sales_amount,profit
S0001,2025-01-11,华东,电子产品,刘洋,8,637.0,9274.72,1556.07
S0002,2025-01-13,华东,电子产品,刘洋,8,582.0,8473.92,837.52
S0003,2025-01-13,华东,电子产品,张伟,30,628.0,34288.8,8133.74
S0004,2025-01-05,华东,办公用品,刘洋,34,404.0,13392.6,2064.6
S0005,2025-01-14,华东,办公用品,王强,32,543.0,16941.6,4143.11
S0006,2025-01-22,华东,办公用品,张伟,20,243.0,4738.5,904.66
S0007,2025-01-04,华东,家具,陈晨,35,675.0,33783.75,6970.7
S0008,2025-01-11,华东,家具,刘洋,29,335.0,13892.45,3808.47
S0009,2025-01-09,华东,家具,王强,28,640.0,25625.6,3047.59
S0010,2025-01-18,华南,电子产品,陈晨,22,111.0,3931.62,435.85
S0011,2025-01-10,华南,电子产品,李娜,37,616.0,36695.12,10036.19
S0012,2025-01-20,华南,电子产品,李娜,36,346.0,20054.16,3487.64
S0013,2025-01-08,华南,办公用品,李娜,21,173.0,3133.46,548.8
S0014,2025-01-04,华南,办公用品,陈晨,24,562.0,11633.4,1947.78
S0015,2025-01-19,华南,办公用品,陈晨,27,584.0,13599.9,1937.62
S0016,2025-01-22,华南,家具,李娜,20,659.0,16672.7,2625.88
S0017,2025-01-20,华南,家具,李娜,13,571.0,9390.09,1013.67
S0018,2025-01-19,华南,家具,赵敏,33,85.0,3548.32,842.32
S0019,2025-01-14,华北,电子产品,王强,21,587.0,16394.91,3871.59
S0020,2025-01-06,华北,电子产品,张伟,22,489.0,14308.14,1544.7
S0021,2025-01-21,华北,电子产品,赵敏,20,561.0,14922.6,2599.8
S0022,2025-01-14,华北,办公用品,赵敏,7,630.0,3142.12,650.24
S0023,2025-01-15,华北,办公用品,张伟,8,482.0,2747.4,386.81
S0024,2025-01-07,华北,办公用品,王强,17,394.0,4772.32,586.6
S0025,2025-01-20,华北,家具,张伟,39,694.0,28283.97,3586.07
S0026,2025-01-11,华北,家具,赵敏,34,282.0,10019.46,1389.89
S0027,2025-01-24,华北,家具,赵敏,9,481.0,4523.81,1071.14
S0028,2025-01-08,西南,电子产品,李娜,19,372.0,7916.16,1922.08
S0029,2025-01-19,西南,电子产品,陈晨,16,96.0,1720.32,168.61
S0030,2025-01-22,西南,电子产品,赵敏,29,412.0,13381.76,1502.16
S0031,2025-01-12,西南,办公用品,王强,37,189.0,4195.8,919.99
S0032,2025-01-17,西南,办公用品,赵敏,10,354.0,2124.0,298.0
S0033,2025-01-09,西南,办公用品,张伟,26,340.0,5304.0,517.3
S0034,2025-01-12,西南,家具,陈晨,16,772.0,10869.76,2844.79
S0035,2025-01-07,西南,家具,陈晨,21,271.0,5008.08,1371.39
S0036,2025-01-18,西南,家具,李娜,14,596.0,7342.72,1247.32
S0037,2025-02-04,华东,电子产品,王强,7,149.0,1898.26,494.54
S0038,2025-02-20,华东,电子产品,赵敏,29,225.0,11875.5,1676.72
S0039,2025-02-01,华东,电子产品,陈晨,24,207.0,9041.76,2272.4
S0040,2025-02-08,华东,办公用品,赵敏,22,598.0,12827.1,2134.67
S0041,2025-02-16,华东,办公用品,张伟,9,500.0,4387.5,921.24
S0042,2025-02-05,华东,办公用品,王强,31,379.0,11455.28,1011.76
S0043,2025-02-17,华东,家具,张伟,11,317.0,4986.41,543.04
S0044,2025-02-08,华东,家具,刘洋,11,503.0,7912.19,902.93
S0045,2025-02-15,华东,家具,赵敏,39,498.0,27773.46,4148.63
S0046,2025-02-11,华南,电子产品,王强,15,96.0,2318.4,629.94
S0047,2025-02-07,华南,电子产品,王强,21,643.0,21739.83,2098.89
S0048,2025-02-04,华南,电子产品,赵敏,28,433.0,19519.64,5222.78
S0049,2025-02-23,华南,办公用品,李娜,23,420.0,8331.75,1111.41
S0050,2025-02-07,华南,办公用品,张伟,24,454.0,9397.8,1576.78
